movieid,title,studio,runtime,rating,reldate
75,28 Days,Sony Pictures,103,PG-13,2000-04-14
76,American Psycho,Lionsgate,102,NC-17,2000-04-14
77,East Is East,The Weinstein Company,96,TV-PG,2000-04-14
78,Keeping the Faith,Walt Disney,128,PG-13,2000-04-14
79,Set Me Free,Merchant Ivory Productions,95,,2000-04-14
80,The Girl Next Door,Indican Pictures,82,,2000-04-14
81,The Specialist,Kino International,128,,2000-04-14
82,Third World Cop,Palm Entertainment,98,R,2000-04-14
83,Where the Money Is,USA Films,89,PG-13,2000-04-14
84,Croupier,Shooting Gallery,94,Unrated,2000-04-21
85,From the Edge of the City,Mythos Ltd.,94,,2000-04-21
86,Gossip,Warner Bros.,90,R,2000-04-21
87,J'aimerais pas crever un dimanche,First Run Features,90,,2000-04-21
88,Love & Basketball,Warner Bros.,124,PG-13,2000-04-21
89,The Last September,Trimark Pictures,103,R,2000-04-21
90,The Virgin Suicides,Paramount Pictures,97,R,2000-04-21
91,U-571,Universal Pictures,116,PG-13,2000-04-21
92,Bossa Nova,Sony Pictures,95,R,2000-04-28
93,Committed,The Weinstein Company,98,R,2000-04-28
94,Frequency,Warner Bros.,118,PG-13,2000-04-28
95,The Big Kahuna,Lionsgate,90,TV-MA,2000-04-28
96,The Flintstones in Viva Rock Vegas,Universal Pictures,90,PG,2000-04-28
97,The Idiots,USA Films,117,R,2000-04-28
98,Timecode,Sony Pictures,97,R,2000-04-28
99,Where the Heart Is,20th Century Fox,120,PG-13,2000-04-28
100,Adorenarin doraibu,Shooting Gallery,112,Unrated,2000-05-05
101,Gladiator,DreamWorks Distribution,155,R,2000-05-05
102,Human Traffic,The Weinstein Company,99,R,2000-05-05
103,I Dreamed of Africa,Sony Pictures,114,PG-13,2000-05-05
104,Into My Heart,Jean Doumanian Films,97,,2000-05-05
105,La nouvelle Ãve,Sceneries Distribution,94,,2000-05-05
106,Luminarias,Echo Bridge Home Entertainment,100,R,2000-05-05
107,Michael Jordan to the Max,20th Century Fox,46,,2000-05-05
108,Quince Tree of the Sun,Facets Multimedia Distribution,133,,2000-05-05
109,The Basket,Privileged Communications,105,PG,2000-05-05
110,Up at the Villa,October Films,115,PG-13,2000-05-05
111,Battlefield Earth: A Saga of the Year 3000,Warner Bros.,118,PG-13,2000-05-12
112,Center Stage,Sony Pictures,115,PG-13,2000-05-12
113,Coming Soon,Unapix Entertainment Productions,96,R,2000-05-12
114,Hamlet,The Weinstein Company,112,R,2000-05-12
115,Held Up,Trimark Pictures,89,PG-13,2000-05-12
116,Kadosh,Kino International,110,,2000-05-12
117,Screwed,Universal Pictures,81,PG-13,2000-05-12
118,Shadow Boxers,Swerve Films,72,,2000-05-12
119,Cirque du Soleil: Journey of Man,Sony Pictures,39,G,2000-05-19
120,Dinosaur,Walt Disney,82,PG,2000-05-19
121,Luminous Motion,Artistic License,91,,2000-05-19
122,Road Trip,DreamWorks Distribution,93,Unrated,2000-05-19
123,Small Time Crooks,DreamWorks Distribution,94,PG,2000-05-19
124,Mission: Impossible II,Paramount Pictures,123,PG-13,2000-05-24
125,8 Â½ Women,Lionsgate,118,R,2000-05-26
126,Better Living Through Circuitry,Seventh Art Releasing,85,,2000-05-26
127,KikujirÃ´ no natsu,Sony Pictures,121,PG-13,2000-05-26
128,Passion of Mind,Paramount Pictures,105,PG-13,2000-05-26
129,Shanghai Noon,Walt Disney,110,PG-13,2000-05-26
130,American Virgin,Granite Releasing,88,R,2000-06-02
131,Big Momma's House,20th Century Fox,98,PG-13,2000-06-02
132,Grass,Home Vision Entertainment (HVE),80,R,2000-06-02
133,Running Free,Sony Pictures,81,G,2000-06-02
134,Thirteen,E.D. Distribution,87,,2000-06-02
135,American Pimp,Seventh Art Releasing,87,R,2000-06-09
136,Gone in Sixty Seconds,Walt Disney,118,Unrated,2000-06-09
137,Groove,Sony Pictures,86,R,2000-06-09
138,Love's Labour's Lost,Intermedia,93,PG,2000-06-09
139,Pop & Me,Seventh Art Releasing,91,PG-13,2000-06-09
140,Sunshine,Paramount Pictures,181,R,2000-06-09
141,Boys and Girls,Dimension Films,94,PG-13,2000-06-16
142,Butterfly Tongues,The Weinstein Company,96,R,2000-06-16
143,HumanitÃ©,20th Century Fox,148,,2000-06-16
144,Jesus' Son,Lionsgate,107,R,2000-06-16
145,Marcel Proust's Time Regained,Kino International,169,,2000-06-16
146,Shaft,Paramount Pictures,99,R,2000-06-16
147,The Woman Chaser,"Asylum, The",90,,2000-06-16
148,Titan A.E.,20th Century Fox,94,PG,2000-06-16
149,Chicken Run,DreamWorks Distribution,84,G,2000-06-21
150,"Me, Myself & Irene",20th Century Fox,116,R,2000-06-23
151,Praise,Strand Releasing,98,,2000-06-23
152,The Patriot,Sony Pictures,165,Unrated,2000-06-28
153,Trixie,Sony Pictures,116,R,2000-06-28
154,The Adventures of Rocky & Bullwinkle,Universal Pictures,,PG,2000-06-30
155,The Perfect Storm,Warner Bros.,130,PG-13,2000-06-30
156,All the Rage,Scanbox Entertainment,99,R,2000-07-07
157,But I'm a Cheerleader,Lionsgate,85,R,2000-07-07
158,I'm the One That I Want,Cho Taussig Productions,96,Unrated,2000-07-07
159,Scary Movie,Dimension Films,88,R,2000-07-07
160,Shower,Sony Pictures,92,PG-13,2000-07-07
161,The Decline of Western Civilization Part III,Spheeris Films Inc.,86,,2000-07-07
162,The Kid,Walt Disney,104,PG,2000-07-07
163,Chuck & Buck,Artisan Entertainment,96,R,2000-07-14
164,Shadow Hours,Newmark Films Inc.,95,R,2000-07-14
165,The Five Senses,Fine Line Features,106,R,2000-07-14
166,The Wisdom of Crocodiles,The Weinstein Company,98,R,2000-07-14
167,Water Drops on Burning Rocks,Zeitgeist Films,90,,2000-07-14
168,X-Men,20th Century Fox,104,PG-13,2000-07-14
169,The In Crowd,Warner Bros.,105,PG-13,2000-07-19
170,$pent,Regent Releasing,91,,2000-07-21
171,Alice et Martin,USA Films,120,R,2000-07-21
172,Benjamin Smoke,Cowboy Booking International,72,,2000-07-21
173,Les amants criminels,Strand Releasing,96,,2000-07-21
174,Loser,Sony Pictures,98,PG-13,2000-07-21
175,PokÃ©mon: The Movie 2000,Warner Bros.,80,G,2000-07-21
176,The Eyes of Tammy Faye,Lionsgate,79,PG-13,2000-07-21
177,What Lies Beneath,DreamWorks Distribution,130,PG-13,2000-07-21
178,Thomas and the Magic Railroad,Destination Films,85,G,2000-07-26
179,Catfish in Black Bean Sauce,Iron Hill Pictures,119,PG-13,2000-07-28
180,Girl on the Bridge,Legend Films,90,R,2000-07-28
181,Nutty Professor II: The Klumps,Universal Pictures,106,Unrated,2000-07-28
182,The Wind Will Carry Us,New Yorker Films,118,,2000-07-28
183,Wonderland,USA Films,108,R,2000-07-28
184,Better Living,,95,,2000-08-04
185,Coyote Ugly,American Broadcasting Company (ABC),100,Unrated,2000-08-04
186,Hollow Man,Sony Pictures,112,R,2000-08-04
187,Psycho Beach Party,Strand Releasing,95,Unrated,2000-08-04
188,Saving Grace,Fine Line Features,93,R,2000-08-04
189,Space Cowboys,Warner Bros.,130,PG-13,2000-08-04
190,The Tao of Steve,Sony Pictures,87,TV-MA,2000-08-04
191,The Tic Code,Avalanche Releasing,91,R,2000-08-04
192,Aimee & Jaguar,Zeitgeist Films,125,,2000-08-11
193,An Affair of Love,Fine Line Features,80,R,2000-08-11
194,Autumn in New York,Metro-Goldwyn-Mayer,103,PG-13,2000-08-11
195,Bless the Child,Paramount Pictures,107,R,2000-08-11
196,Cecil B. DeMented,Artisan Entertainment,87,R,2000-08-11
197,Gimme Shelter (re-release),Cinema 5 Distributing,91,PG,2000-08-11
198,Sunset Strip,20th Century Fox,90,R,2000-08-11
199,The Opportunists,First Look International,90,R,2000-08-11
200,The Replacements,Warner Bros.,118,PG-13,2000-08-11
201,Godzilla 2000,Sony Pictures,99,PG,2000-08-18
202,Place VendÃ´me,Empire Pictures Inc.,117,R,2000-08-18
203,Steal This Movie,Trimark Video,107,R,2000-08-18
204,The Ballad of Ramblin' Jack,Lot 47 Films,112,PG-13,2000-08-18
205,The Cell,Warner Bros.,107,R,2000-08-18
206,The Original Kings of Comedy,Paramount Pictures,115,R,2000-08-18
207,Bittersweet Motel,Stranger Than Fiction Films,82,,2000-08-25
208,Bring It On,Universal Pictures,98,PG-13,2000-08-25
209,Chalk,Tenderloin Action Group,134,,2000-08-25
210,God's Army,Excel Entertainment,108,PG,2000-08-25
211,Love & Sex,Lionsgate,82,R,2000-08-25
212,Orfeu,New Yorker Films,110,,2000-08-25
213,Smiling Fish & Goat on Fire,Stratosphere Entertainment,90,R,2000-08-25
214,Solomon & Gaenor,Sony Pictures,,R,2000-08-25
215,The Art of War,Warner Bros.,117,R,2000-08-25
216,The Crew,Walt Disney,88,PG-13,2000-08-25
217,Waga jinsei saiaku no toki,Tidepoint Pictures,92,,2000-08-25
218,Went to Coney Island on a Mission from God... Be Back by Five,Anchor Bay Entertainment,94,R,2000-08-25
219,Dark Days,Oscilloscope Pictures,94,Not Rated,2000-08-30
220,Highlander: Endgame,Dimension Films,87,R,2000-09-01
221,Madadayo,"Criterion Collection, The",134,,2000-09-01
222,Titanic Town,Shooting Gallery,100,,2000-09-01
223,Whipped,Destination Films,82,NC-17,2000-09-01
224,Wildflowers,Fries Film Group,93,R,2000-09-01
225,Turn It Up,Warner Bros.,86,R,2000-09-06
226,Backstage,Dimension Films,86,R,2000-09-08
227,Nurse Betty,USA Films,110,R,2000-09-08
228,Pola X,WinStar Cinema,134,Not Rated,2000-09-08
229,Solas,Samuel Goldwyn Films,101,R,2000-09-08
230,The Watcher,Universal Pictures,97,R,2000-09-08
231,The Way of the Gun,Artisan Entertainment,119,R,2000-09-08
232,Ãa commence aujourd'hui,Facets Multimedia Distribution,117,,2000-09-08
233,Almost Famous,Sony Pictures,122,Unrated,2000-09-13
234,Paragraph 175,New Yorker Films,81,,2000-09-13
235,A Piece of Eden,GS Entertainment,106,,2000-09-15
236,Bait,Warner Bros.,119,R,2000-09-15
237,Crime and Punishment in Suburbia,United Artists,100,R,2000-09-15
238,Duets,Walt Disney,112,R,2000-09-15
239,Goya in Bordeaux,Sony Pictures,106,R,2000-09-15
240,Human Resources,Shooting Gallery,100,,2000-09-15
241,Into the Arms of Strangers: Stories of the Kindertransport,Warner Bros.,122,PG,2000-09-15
242,Urbania,Lionsgate,103,R,2000-09-15
243,Chutney Popcorn,,92,,2000-09-22
244,Dancer in the Dark,Fine Line Features,140,R,2000-09-22
245,Double Parked,Castle Hill Productions,98,,2000-09-22
246,Left Luggage,Castle Hill Productions,100,Unrated,2000-09-22
247,The Fantasticks,United Artists,86,PG,2000-09-22
248,The Specials,Fluid Entertainment,82,R,2000-09-22
249,The Tavern,Castle Hill Productions,95,,2000-09-22
250,Tigerland,20th Century Fox,100,R,2000-09-22
251,Under Suspicion,Lionsgate,110,R,2000-09-22
252,Urban Legends: Final Cut,Sony Pictures,97,R,2000-09-22
253,Woman on Top,20th Century Fox,92,R,2000-09-22
254,Best in Show,Warner Bros.,90,PG-13,2000-09-27
255,Barenaked in America,Shooting Gallery,89,,2000-09-29
256,Beautiful,Destination Films,112,PG-13,2000-09-29
257,Girlfight,Sony Pictures,110,R,2000-09-29
258,Remember the Titans,Walt Disney,113,Unrated,2000-09-29
259,The Broken Hearts Club: A Romantic Comedy,Sony Pictures,94,R,2000-09-29
260,The Great Dance: A Hunter's Story,,90,,2000-09-29
261,Bamboozled,Warner Bros.,135,TV-MA,2000-10-06
262,Bootmen,20th Century Fox,95,R,2000-10-06
263,CyberWorld,IMAX,44,,2000-10-06
264,Digimon: Digital Monsters,20th Century Fox,82,PG,2000-10-06
265,Get Carter,Warner Bros.,102,R,2000-10-06
266,Meet the Parents,Universal Pictures,108,PG-13,2000-10-06
267,Requiem for a Dream,Artisan Entertainment,102,Open,2000-10-06
268,Taboo,New Yorker Films,100,Unrated,2000-10-06
269,Two Family House,Lionsgate,108,TV-MA,2000-10-06
270,Yi Yi,WinStar Cinema,173,Not Rated,2000-10-06
271,Animal Factory,Silver Nitrate,94,R,2000-10-13
272,Billy Elliot,Universal Pictures,110,R,2000-10-13
273,Cleopatra's Second Husband,Indican Pictures,92,R,2000-10-13
274,Dr T and the Women,Artisan Entertainment,122,R,2000-10-13
275,Just Looking,Sony Pictures,97,R,2000-10-13
276,Lost Souls,Warner Bros.,97,R,2000-10-13
277,One,Shooting Gallery,102,,2000-10-13
278,Ratcatcher,First Look International,94,Not Rated,2000-10-13
279,The Contender,DreamWorks Distribution,126,R,2000-10-13
280,The Ladies Man,Paramount Pictures,84,R,2000-10-13
281,Bedazzled,20th Century Fox,93,PG-13,2000-10-20
282,Calle 54,The Weinstein Company,105,G,2000-10-20
283,Just One Time,Cowboy Booking International,111,R,2000-10-20
284,MVP: Most Valuable Primate,Keystone Family Pictures,93,PG,2000-10-20
285,Pay It Forward,Warner Bros.,123,PG-13,2000-10-20
286,The Legend of Drunken Master,Dimension Films,99,R,2000-10-20
287,The Wolves of Kromer,First Run Features,82,,2000-10-20
288,The Yards,The Weinstein Company,115,Unrated,2000-10-20
289,Sound and Fury,Artistic License,80,,2000-10-25
290,A Room for Romeo Brass,USA Films,90,R,2000-10-27
291,A Time for Drunken Horses,Shooting Gallery,80,,2000-10-27
292,Book of Shadows: Blair Witch 2,Artisan Entertainment,90,R,2000-10-27
293,George Washington,Cowboy Booking International,89,Unrated,2000-10-27
294,Loving Jezebel,Shooting Gallery,87,R,2000-10-27
295,Lucky Numbers,Paramount Pictures,105,R,2000-10-27
296,Once in the Life,Lionsgate,107,R,2000-10-27
297,Stardom,Lionsgate,100,TV-MA,2000-10-27
298,The Little Vampire,Warner Bros.,95,PG,2000-10-27
299,The Sculptress,Phaedra Cinema,101,R,2000-10-27
300,VÃ©nus beautÃ© (institut),Lot 47 Films,105,R,2000-10-27
301,What's Cooking?,Lionsgate,109,PG-13,2000-10-27
302,Blue Moon,Castle Hill Productions,89,PG-13,2000-11-03
303,Boesman and Lena,Kino International,90,,2000-11-03
304,Charlie's Angels,Sony Pictures,98,PG-13,2000-11-03
305,Kippur,Kino International,124,,2000-11-03
306,Me & Isaac Newton,First Look International,,,2000-11-03
307,The Legend of Bagger Vance,DreamWorks Distribution,126,PG-13,2000-11-03
308,The Weekend,Strand Releasing,97,,2000-11-03
309,Suzhou River,Strand Releasing,83,,2000-11-08
310,Little Nicky,Warner Bros.,90,PG-13,2000-11-10
311,Looking for an Echo,Regent Releasing,97,R,2000-11-10
312,Men of Honor,20th Century Fox,129,R,2000-11-10
313,Non-Stop,Shooting Gallery,82,,2000-11-10
314,Rebels with a Cause,Cowboy Booking International,110,,2000-11-10
315,Red Planet,Warner Bros.,106,PG-13,2000-11-10
316,Restless,Arrow Releasing,100,,2000-11-10
317,You Can Count on Me,Paramount Pictures,111,R,2000-11-10
318,Bounce,The Weinstein Company,106,PG-13,2000-11-17
319,How the Grinch Stole Christmas,Universal Pictures,104,PG,2000-11-17
320,La bÃ»che,Empire Pictures Inc.,106,,2000-11-17
321,Lies,Cowboy Booking International,112,,2000-11-17
322,One Day in September,Sony Pictures,94,R,2000-11-17
323,Rugrats in Paris: The Movie - Rugrats II,Paramount Pictures,78,G,2000-11-17
324,Sasayaki,Tidepoint Pictures,100,R,2000-11-17
325,The 6th Day,Sony Pictures,123,PG-13,2000-11-17
326,102 Dalmatians,Walt Disney,100,G,2000-11-22
327,Quills,20th Century Fox,124,R,2000-11-22
328,The Trench,Somme Productions,98,,2000-11-22
329,Unbreakable,Walt Disney,106,PG-13,2000-11-22
330,A Good Baby,Curb Entertainment,87,,2000-12-01
331,Boys Life 3,Strand Releasing,79,,2000-12-01
332,Spring Forward,IFC Films,110,R,2000-12-01
333,"Crouching Tiger, Hidden Dragon",Sony Pictures,120,PG-13,2000-12-08
334,Dungeons & Dragons,Warner Bros.,107,PG-13,2000-12-08
335,Proof of Life,Warner Bros.,135,R,2000-12-08
336,Strippers,Hollywood Independents,71,,2000-12-08
337,The Day Silence Died,First Run Features,108,,2000-12-08
338,Vertical Limit,Sony Pictures,124,PG-13,2000-12-08
339,Chocolat,The Weinstein Company,121,TV-MA,2000-12-15
340,"Dude, Where's My Car?",20th Century Fox,83,PG-13,2000-12-15
341,Pollock,Sony Pictures,122,R,2000-12-15
342,The Emperor's New Groove,Walt Disney,78,G,2000-12-15
343,The Visit,Shoreline Entertainment,107,R,2000-12-15
344,What Women Want,Paramount Pictures,127,PG-13,2000-12-15
345,Finding Forrester,Sony Pictures,136,PG-13,2000-12-20
346,The Gift,Paramount Pictures,111,R,2000-12-20
347,Before Night Falls,Fine Line Features,133,R,2000-12-22
348,Cast Away,20th Century Fox,143,PG-13,2000-12-22
349,Dracula 2000,Dimension Films,99,R,2000-12-22
350,Injeong sajeong bol geot eobtda,Lionsgate,112,R,2000-12-22
351,Miss Congeniality,Warner Bros.,109,PG-13,2000-12-22
352,"O Brother, Where Art Thou?",Walt Disney,106,TV-14,2000-12-22
353,State and Main,Fine Line Features,105,R,2000-12-22
354,The Family Man,Universal Pictures,125,PG-13,2000-12-22
355,The House of Mirth,Sony Pictures,140,PG,2000-12-22
356,All the Pretty Horses,The Weinstein Company,116,PG-13,2000-12-25
357,An Everlasting Piece,DreamWorks Distribution,103,R,2000-12-25
358,MalÃ¨na,The Weinstein Company,109,R,2000-12-25
359,Thirteen Days,Warner Bros.,145,PG-13,2000-12-25
360,Vatel,The Weinstein Company,103,PG-13,2000-12-25
361,Traffic,USA Films,147,R,2000-12-27
362,Chunhyangdyun,Lot 47 Films,120,R,2000-12-29
363,Shadow of the Vampire,Lionsgate,92,R,2000-12-29
364,The Claim,United Artists,120,TV-MA,2000-12-29
365,Antitrust,Metro-Goldwyn-Mayer,109,PG-13,2001-01-12
366,Double Take,Walt Disney,88,PG-13,2001-01-12
367,Panic,Roxie Releasing,88,R,2001-01-12
368,Save the Last Dance,Paramount Pictures,112,PG-13,2001-01-12
369,Wadd: The Life & Times of John C. Holmes,Lionsgate,105,NC-17,2001-01-12
370,Zheng hun qi shi,First Run Features,104,,2001-01-12
371,Scottsboro: An American Tragedy,Public Broadcasting Service (PBS),84,,2001-01-19
372,Snatch.,Sony Pictures,102,R,2001-01-19
373,The Amati Girls,20th Century Fox,91,PG,2001-01-19
374,The Pledge,Warner Bros.,124,R,2001-01-19
375,Amy,World Wide Motion Pictures Corporation,104,PG-13,2001-01-26
376,Sugar & Spice,Warner Bros.,81,R,2001-01-26
377,The Wedding Planner,Sony Pictures,103,PG-13,2001-01-26
378,TrolÃ¶sa,IDP Distribution,142,R,2001-01-26
379,Two Ninas,Castle Hill Productions,88,R,2001-01-26
380,Fever,Cowboy Booking International,92,R,2001-02-02
381,Head Over Heels,Universal Pictures,86,PG-13,2001-02-02
382,In the Mood for Love,USA Films,98,PG,2001-02-02
383,Left Behind,Sony Pictures,96,R,2001-02-02
384,Nico and Dani,Avatar Films,91,R,2001-02-02
385,The Invisible Circus,Fine Line Features,93,R,2001-02-02
386,The Million Dollar Hotel,Lionsgate,122,R,2001-02-02
387,Valentine,Warner Bros.,96,R,2001-02-02
388,Bad Company,Pyramide Distribution,98,,2001-02-09
389,Hannibal,Metro-Goldwyn-Mayer,131,R,2001-02-09
390,Journey to the Sun,Cinema Village Features,104,,2001-02-09
391,Saving Silverman,Sony Pictures,90,R,2001-02-09
392,Signs & Wonders,Strand Releasing,105,,2001-02-09
393,The Taste of Others,The Weinstein Company,112,R,2001-02-09
394,Company Man,Intermedia,86,PG-13,2001-02-16
395,Down to Earth,Paramount Pictures,87,PG-13,2001-02-16
396,Recess: School's Out,Walt Disney,82,G,2001-02-16
397,Sweet November,Warner Bros.,119,PG-13,2001-02-16
398,The Price of Milk,Lot 47 Films,87,PG-13,2001-02-16
399,3000 Miles to Graceland,Warner Bros.,125,R,2001-02-23
400,Last Resort,Shooting Gallery,73,,2001-02-23
401,Monkeybone,20th Century Fox,93,PG-13,2001-02-23
402,Southern Comfort,HBO Theatrical Documentary,90,,2001-02-23
403,The Widow of Saint-Pierre,Lionsgate,112,R,2001-02-23
404,Hit and Runway,Ariztical Entertainment,108,R,2001-03-02
405,Me You Them,Sony Pictures,104,PG-13,2001-03-02
406,See Spot Run,Warner Bros.,94,PG,2001-03-02
407,Series 7: The Contenders,Good Machine International,86,R,2001-03-02
408,The Caveman's Valentine,Universal Pictures,105,R,2001-03-02
409,The Gospel According to Philip K. Dick,First Run Features,80,,2001-03-02
410,The Mexican,DreamWorks Distribution,123,R,2001-03-02
411,Blow Dry,The Weinstein Company,94,R,2001-03-07
412,The Gleaners & I,Zeitgeist Films,82,,2001-03-07
413,15 Minutes,Warner Bros.,120,R,2001-03-09
414,"Biandan, guniang",Cinema Village Features,,,2001-03-09
415,Get Over It,Dimension Films,87,R,2001-03-09
416,Simon Magus,Fireworks Pictures,101,,2001-03-09
417,When Brendan Met Trudy,Shooting Gallery,,,2001-03-09
418,Kissing Jessica Stein,20th Century Fox,97,TV-MA,2001-03-13
419,The Dish,Warner Bros.,101,PG-13,2001-03-14
420,American Desi,Cinebella Entertainment,100,Unrated,2001-03-16
421,Enemy at the Gates,Paramount Pictures,131,R,2001-03-16
422,Exit Wounds,Warner Bros.,101,R,2001-03-16
423,Keep the River on Your Right: A Modern Cannibal Tale,IFC Films,93,R,2001-03-16
424,Memento,Newmarket Films,113,R,2001-03-16
425,Heartbreakers,Metro-Goldwyn-Mayer,123,PG-13,2001-03-23
426,Say It Isn't So,20th Century Fox,95,R,2001-03-23
427,The Brothers,Sony Pictures,106,R,2001-03-23
428,Too Much Sleep,Anthology Film Archives,,,2001-03-23
429,Amores Perros,Lionsgate,154,R,2001-03-30
430,Faat KinÃ©,New Yorker Films,120,,2001-03-30
431,Someone Like You...,20th Century Fox,97,PG-13,2001-03-30
432,Spy Kids,Dimension Films,88,PG,2001-03-30
433,The Tailor of Panama,Sony Pictures,109,R,2001-03-30
434,Tomcats,Sony Pictures,95,R,2001-03-30
435,All Access: Front Row. Backstage. Live!,IMAX,,,2001-04-06
436,Along Came a Spider,Paramount Pictures,104,R,2001-04-06
437,Beautiful Creatures,Universal Pictures,86,R,2001-04-06
438,Blow,Warner Bros.,124,R,2001-04-06
439,"Booye kafoor, atre yas",New Yorker Films,93,,2001-04-06
440,Just Visiting,Walt Disney,88,PG-13,2001-04-06
441,Mau Mau Sex Sex,7th Planet Productions,80,,2001-04-06
442,PokÃ©mon 3: The Movie,Warner Bros.,93,G,2001-04-06
443,Shadow Magic,Sony Pictures,115,PG,2001-04-06
444,The Day I Became a Woman,Olive Films,78,,2001-04-06
445,The Girl,Artistic License,84,Unrated,2001-04-06
446,Chopper,First Look International,94,Unrated,2001-04-11
447,Joe Dirt,Sony Pictures,91,PG-13,2001-04-11
448,Josie and the Pussycats,Universal Pictures,98,PG,2001-04-11
449,Kingdom Come,20th Century Fox,94,TV-14,2001-04-11
450,Bridget Jones's Diary,The Weinstein Company,97,R,2001-04-13
451,Brigham City,Excel Entertainment,119,PG-13,2001-04-13
452,Lakeboat,Cowboy Booking International,98,R,2001-04-13
453,States of Control,Pathfinder Pictures,84,,2001-04-13
454,The Body,Avalanche Releasing,109,PG-13,2001-04-13
455,The Circle,WinStar Cinema,90,Not Rated,2001-04-13
