year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office,production_budget,Unnamed: 8,opening_weekend,theatre_count,avg run per theatre,runtime,keywords,creative_type,url
2017,October 20th,Liu Nian Liu Tian,Drama,1785824.0,,1785824.0,,,,,,95.0,,,https://www.the-numbers.com/movie/Liu-Nian-Liu-Tian-(China)-(2017)
2017,October 20th,Knock,Comedy,5180023.0,,5180023.0,,,,,,113.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Knock-(France)
2017,October 20th,Kong Bu Dian Ying Yuan 2,Horror,386634.0,,386634.0,,,,,,90.0,,,https://www.the-numbers.com/movie/Kong-Bu-Dian-Ying-Yuan-2-(China)-(2017)
2017,October 20th,The Killing of a Sacred Deer,Horror,3824019.0,2291900.0,6115919.0,,,115120.0,4.0,3.0,109.0,Dysfunctional Family,Contemporary Fiction,https://www.the-numbers.com/movie/Killing-of-a-Sacred-Deer-The
2017,October 20th,Let Her Out,Horror,,,,,,,,,89.0,Car Accident,Contemporary Fiction,https://www.the-numbers.com/movie/Let-Her-Out-(Canada)
2017,October 20th,"Jung Il-woo, My Friend",Documentary,68548.0,,68548.0,,,,,,84.0,,Factual,https://www.the-numbers.com/movie/Jung-Il-woo-My-Friend-(S-Korea)
2017,October 20th,Ã„Â°lk Ãƒâ€“pÃƒÂ¼cÃƒÂ¼k,Romantic Comedy,339792.0,,339792.0,,,,,,110.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Ilk-Opucuk-(Turkey)
2017,October 20th,Jane,Documentary,232704.0,1723379.0,1956083.0,,,58348.0,3.0,5.6,90.0,Biography,Factual,https://www.the-numbers.com/movie/Jane-(2017)
2017,October 20th,Keng Die You Xi,,263745.0,,263745.0,,,,,,105.0,,,https://www.the-numbers.com/movie/Keng-Die-You-Xi-(China)-(2017)
2017,September 7th,I am Not a Witch,Drama,109616.0,50868.0,160484.0,,,12191.0,2.0,6.0,93.0,Non Professional Actor,Contemporary Fiction,https://www.the-numbers.com/movie/I-am-Not-a-Witch-(UK)
2017,October 20th,Hu Yang De Xia Tian,Romantic Comedy,686594.0,,686594.0,,,,,,100.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Hu-Yang-De-Xia-Tian-(China)-(2017)
2017,October 20th,Handia,Drama,897136.0,,897136.0,,,,,,,,Dramatization,https://www.the-numbers.com/movie/Handia-(Spain)
2017,October 20th,Heal,Documentary,,12668.0,,,,12668.0,7.0,1.0,106.0,Spiritualism,Factual,https://www.the-numbers.com/movie/Heal-(2017-Documentary)
2016,November 11th,Last Testimony,,5167.0,,5167.0,,,,,,,,,https://www.the-numbers.com/movie/Last-Testimony-(China)-(2016)
2016,August 25th,La larga noche de Francisco Sanctis,Drama,22537.0,,22537.0,,,,,,78.0,Set in Buenos Aires,Historical Fiction,https://www.the-numbers.com/movie/Larga-Noche-de-Francisco-Sanctis-La-(Argentina)
2016,November 11th,Lazy Eye,Romantic Comedy,,,,,,,,,90.0,Early / Simultaneous Video-on-Demand release,Contemporary Fiction,https://www.the-numbers.com/movie/Lazy-Eye
2016,August 11th,Kono sekai no katasumi ni,Drama,19794935.0,,19794935.0,3750000.0,,,,,130.0,Set in Japan,Historical Fiction,https://www.the-numbers.com/movie/Kono-sekai-no-katasumi-ni-(Japan)
2016,November 11th,Lahore Se Aagey,Romantic Comedy,20853.0,,20853.0,,,,,,131.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Lahore-Se-Aagey-(Pakistan)
2016,November 11th,Khoroshiy Malchik,Comedy,1237292.0,,1237292.0,,,,,,95.0,,Kids Fiction,https://www.the-numbers.com/movie/Khoroshiy-Malchik-(Russia)
2016,November 11th,IMT Smile and LÃƒÂºÃ„ï¿½nica - Made in Slovakia,Documentary,36253.0,,36253.0,,,,,,,,Factual,https://www.the-numbers.com/movie/IMT-Smile-and-Lucnica-Made-in-Slovakia-(Slovakia)
2016,November 11th,Iron Moon,Documentary,,,,,,,,,85.0,Set in China,Factual,https://www.the-numbers.com/movie/Iron-Moon-(China)
2016,November 18th,I Am not Madame Bovary,Drama,70403856.0,436798.0,70840654.0,,,181552.0,38.0,2.2,139.0,Lawyers,Contemporary Fiction,https://www.the-numbers.com/movie/I-Am-not-Madame-Bovary
2016,November 18th,The History of Love,Drama,476624.0,,476624.0,20000000.0,,,,,134.0,Social Media,Historical Fiction,https://www.the-numbers.com/movie/History-of-Love-The
2016,November 11th,Jian Fa Ren Sheng,,40032.0,,40032.0,,,,,,90.0,,,https://www.the-numbers.com/movie/Jian-Fa-Ren-Sheng-(China)-(2016)
2016,November 11th,Guido Models,Documentary,1660.0,,1660.0,,,,,,68.0,,Factual,https://www.the-numbers.com/movie/Guido-Models-(Argentina)-(2015)
2016,November 11th,Hija ÃƒÂºnica,Drama,2949.0,,2949.0,,,,,,,,,https://www.the-numbers.com/movie/Hija-unica-(Argentina)-(2016)
2016,November 11th,Hacienda Classical: The Classical Rave,Documentary,1338.0,,1338.0,,,,,,95.0,,Factual,https://www.the-numbers.com/movie/Hacienda-Classical-The-Classical-Rave-(UK)
2016,November 11th,The Legend Of Ben Hall,Action,89570.0,,89570.0,,,,,,,,Dramatization,https://www.the-numbers.com/movie/Legend-Of-Ben-Hall-The-(OZ)
2016,November 11th,Las Furias,Drama,102417.0,,102417.0,,,,,,,,Contemporary Fiction,https://www.the-numbers.com/movie/Furias-Las-(Spain)
2016,November 11th,The FiancÃƒÂ©,Horror,,23986.0,,,,,,,80.0,Bigfoot,Contemporary Fiction,https://www.the-numbers.com/movie/Fiance-The-(2016)
2016,November 11th,Ella,Documentary,9678.0,,9678.0,,,,,,83.0,,Dramatization,https://www.the-numbers.com/movie/Ella-(OZ)
2016,November 11th,Duo Lu Er Tao,,345604.0,,345604.0,,,,,,90.0,,,https://www.the-numbers.com/movie/Duo-Lu-Er-Tao-(China)-(2016)
2016,November 11th,Dum Laga Ke Haisha,,3064.0,,3064.0,,,,,,110.0,,,https://www.the-numbers.com/movie/Dum-Laga-Ke-Haisha-(India)-(2015)
2016,November 11th,Egon Schiele: Tod und MÃƒÂ¤dchen,Drama,564954.0,,564954.0,,,,,,,,Dramatization,https://www.the-numbers.com/movie/Egon-Schiele-Tod-und-Madchen-(Austria)
2016,November 11th,Dreamland,Comedy,,,,,,,,,89.0,May / December Romance,Contemporary Fiction,https://www.the-numbers.com/movie/Dreamland-(2016)
2018,October 19th,Bao Bei Er,Drama,3576269.0,,3576269.0,,,,,,96.0,,,https://www.the-numbers.com/movie/Bao-Bei-Er-(China)-(2018)
2018,October 19th,Argentina animada,Adventure,784.0,,784.0,,,,,,,,,https://www.the-numbers.com/movie/Argentina-animada-(Argentina)-(2018)
2016,November 11th,Don't Look Down,Documentary,,,,,,,,,96.0,World Record Attempt,Factual,https://www.the-numbers.com/movie/Dont-Look-Down-(2016)
2018,October 19th,Animales sin collar,Thriller/Suspense,79645.0,,79645.0,,,,,,,,Contemporary Fiction,https://www.the-numbers.com/movie/Animales-sin-collar-(Spain)(2018)
2018,October 19th,All Inclusive,Comedy,6559825.0,,6559825.0,,,,,,92.0,,Contemporary Fiction,https://www.the-numbers.com/movie/All-Inclusive-(Argentina)-(2018)
2018,October 19th,Badhaai Ho,Drama,618588.0,,618588.0,,,,,,124.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Badhaai-Ho-(India)(2018)
2018,October 19th,The Advocates,Documentary,,10402.0,,,,4355.0,1.0,0.5,87.0,Homeless,Factual,https://www.the-numbers.com/movie/Advocates-The-(Documentary)-(2018)
2018,October 19th,Aate Di Chidi,Comedy,71912.0,,71912.0,,,,,,140.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Aate-Di-Chidi-(India)(2018)
2018,October 18th,SuperBobrovy. Narodnye mstiteli,Comedy,2879785.0,,2879785.0,,,,,,90.0,,Contemporary Fiction,https://www.the-numbers.com/movie/SuperBobrovy-Narodnye-mstiteli-(Russia)-(2018)
2018,October 18th,Small Group,Drama,,,,,,,,,90.0,Christians,Dramatization,https://www.the-numbers.com/movie/Small-Group-(2018)
2018,October 18th,Si Yo Fuera TÃƒÂº,Comedy,1009826.0,,1009826.0,,,,,,94.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Si-Yo-Fuera-Tu-(Mexico)-(2018)
2018,October 19th,Wildlife,Drama,2703923.0,1050616.0,3754539.0,,,104589.0,4.0,4.8,104.0,Coming of Age,Historical Fiction,https://www.the-numbers.com/movie/Wildlife-(2018)
2018,October 18th,Vechnaya zhizn Aleksandra Khristoforova,Comedy,327103.0,,327103.0,,,,,,105.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Vechnaya-zhizn-Aleksandra-Khristoforova-(Russia)-(2018)
2018,October 18th,Baebanui Jangmi,Comedy,297297.0,,297297.0,,,,,,99.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Baebanui-Jangmi-(South-Korea)(2018)
2018,October 18th,Let's go,Drama,161474.0,,161474.0,,,,,,,,,https://www.the-numbers.com/movie/Let-s-go-(China)-(2018)
2018,October 17th,Horn From the Heart: The Paul Butterfield Story,Documentary,,58597.0,,,,3086.0,1.0,4.5,104.0,Rhythm and Blues,Factual,https://www.the-numbers.com/movie/Horn-From-the-Heart-The-Paul-Butterfield-Story-(Documentary)
2018,October 17th,Wine Calling,Documentary,648.0,,648.0,,,,,,90.0,Wine,Factual,https://www.the-numbers.com/movie/Wine-Calling-(Documentary)-(France)-(2018)
2018,October 18th,Nessuno come noi,Comedy,512051.0,,512051.0,,,,,,100.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Nessuno-come-noi-(Italy)-(2018)
2018,October 17th,GaÃ¢â‚¬â„¢agua,Drama,48468.0,,48468.0,,,,,,100.0,,,https://www.the-numbers.com/movie/Ga-agua-(Israel)-(2018)
