salesid,theater_count,international,domestic
447,2,,81385
448,1,,64148
449,2348,336123,13264986
450,1595,36569000,25528495
451,2,,2194919
452,2550,30000000,56607223
453,1605,,5002310
454,1,,99938
455,2,42689,688523
456,2765,3703014,30059386
457,2,7000000,19147
458,2335,,19693891
459,903,11000000,7496522
460,,2315099,1034829
461,202,107147,4447014
462,2944,21034860,37904175
463,1434,,16017403
464,1,,19205
465,1,,33884
466,12,,1140965
467,4,,525029
468,2525,2325863,16991902
469,601,1187596,3100650
470,1,,112199
471,2438,,27053815
472,1297,155549,22235901
473,2,,124994
474,1,,2567
475,3,2893265,3708478
476,8,,251058
477,1,,5700
478,1591,4910354,17951431
479,1202,,4273372
480,7,649684,1016021
481,7,,14597
482,52,437277,638227
483,1751,6700000,24185781
484,2507,15608731,45172250
485,1,,179914
486,3,,359237
487,2497,231708,21973182
488,2014,,17292381
489,2601,27221987,50255310
490,,,1743570
491,2712,28244326,76261036
492,4,,725854
493,3207,30000000,41523271
494,2062,1137701,23978402
495,1225,,14681661
496,33,,621377
497,1,,28099
498,7,,60103
499,2,,719901
500,2305,37114057,31598308
501,5,223821,561954
502,1,,8527
503,2770,,29781453
504,2262,2333590,18208078
505,4,,2892011
506,847,1062195,7316658
507,58,6030871,1480006
508,72,288718,284063
509,175,1924306,226792
510,1,,94551
511,29,8236521,15652637
512,900,11856848,4365455
513,2781,26600000,41867960
514,39,14000000,7494849
515,2910,9000000,45207112
516,,7890,
517,2,,251444
518,3237,270334294,290149425
519,1,,159675
520,7,,490475
521,2894,28783380,43905746
522,,,14924
523,1891,5423460,23483357
524,1,,4039
525,1,,27161
526,22,,26918
527,2770,,70836296
528,749,,10097096
529,105,497690,2025238
530,1,,563373
531,4,,18601
532,2,,419597
533,2571,,33422806
534,2011,880000,13906394
535,99,1172849,2402459
536,2770,80687000,62362560
537,4,,755249
538,2,,23300
539,4,6207267,35930604
540,38,,83372
541,2770,,58855732
542,402,,623374
543,18,,430313
544,1,,238431
545,1,,92943
546,2,,125900
547,1,,26114
548,1,,8693
549,2,1616726,1067481
550,3075,267311379,183417150
551,1,,19748
552,8,260000,1030920
553,2,112462,5580479
554,1,,1418314
555,6,,4460426
556,2365,24518792,37882551
557,5,19077240,52353636
558,2742,102111747,100614858
559,2506,1745126,22770864
560,1,,116710
561,3359,575672074,315544750
562,524,146959062,170708996
563,1266,66960,31155435
564,3139,22056304,80936232
565,2361,9510292,27796042
566,2446,29500000,58183966
567,186,13000000,11405825
568,9,16971781,41300105
569,7,12492541,31273922
570,4,51052340,108638745
571,5,,668140
572,5,,258215
573,2,52271523,40270895
574,1870,1860370,6114237
575,2317,2248991,41059716
576,3,,4447186
577,2302,35747336,81150692
578,61,,2099719
579,3,,3094699
580,2411,4833792,41227069
581,2478,1000000,16033556
582,4,1112080,912442
583,2007,21160986,54228104
584,2331,21209859,35228696
585,1,10700000,1014416
586,7,,38247
587,1000,3210831,4919896
588,1893,1127974,4814244
589,2531,4649742,47811275
590,2824,38305176,40048332
591,2762,6861966,18990542
592,2380,19811333,37188667
